Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.104-151.101.194.109-39426-443-6,192.168.0.104,39426,151.101.194.109,443,6,06/09/2020 01:52:59 PM,183860,8,5,610.0,5791.0,517.0,0.0,76.25000000000001,181.03886717655806,2800.0,0.0,1158.2,1500.7785312963404,34814.532796693136,70.70597193516807,15321.666666666668,34057.61154368588,108540.0,6.0,183860.0,26265.714285714286,42368.482600923555,108639.0,98.0,73596.0,18399.0,35933.73016169256,72295.0,11.0,0,0,0,0,264,168,43.511367344718806,27.194604590449256,0.0,2800.0,457.2142857142858,1002.5272049691702,1005060.7967032966,1,2,0,3,12,0,0,0,0.0,492.38461538461536,76.25,1158.2,0,0,0,0,5,101011,0,46,0,445,64240,58,2,32,0,0,0,0,1.5993796792112435E15,58412.329917618736,1.599379679244864E15,1.599379679061208E15,No Label
151.101.194.109-192.168.0.104-443-39426-6,151.101.194.109,443,192.168.0.104,39426,6,06/09/2020 01:52:59 PM,178,3,2,289.0,0.0,258.0,0.0,96.33333333333334,140.8628174265066,0.0,0.0,0.0,0.0,1623595.5056179776,28089.88764044944,44.5,31.984371183438952,82.0,15.0,178.0,89.0,74.95331880577403,142.0,36.0,97.0,97.0,0.0,97.0,97.0,1,0,0,0,96,40,16853.932584269663,11235.955056179775,0.0,258.0,91.16666666666667,129.78507875201473,16844.166666666664,1,0,2,2,3,0,0,0,0.0,109.4,96.33333333333333,0.0,0,0,0,0,0,0,0,57,0,0,58,0,1,32,0,0,0,0,1.5993796793154755E15,4.949747468305833,1.599379679315479E15,1.599379679315472E15,No Label
192.168.0.104-139.45.197.194-59392-443-6,192.168.0.104,59392,139.45.197.194,443,6,06/09/2020 01:53:00 PM,6417384,8,7,1360.0,4282.0,517.0,0.0,170.00000000000003,240.25403222422722,2678.0,0.0,611.7142857142857,1017.6726248792247,879.1744424207745,2.3374010344402016,458384.57142857136,1500483.479545777,5664327.0,24.0,6417360.0,916765.7142857143,2095400.1220383274,5664358.0,275.0,6255592.0,1042598.6666666666,2286246.2768482896,5705749.0,55.0,0,0,0,0,264,232,1.2466138850347743,1.0907871494054275,0.0,2678.0,352.625,706.1184862802181,498603.3166666666,1,2,0,7,14,0,0,0,0.0,376.1333333333333,170.0,611.7142857142857,0,0,0,0,6,10171,0,90,0,285,64240,32,3,32,0,0,0,0,1.5993796818391182E15,1743145.5183344837,1.599379687329578E15,1.599379680953707E15,No Label
192.168.0.104-139.45.196.25-41786-443-6,192.168.0.104,41786,139.45.196.25,443,6,06/09/2020 01:53:01 PM,6279652,8,8,1360.0,3810.0,517.0,0.0,170.00000000000003,240.25403222422722,2654.0,0.0,476.25000000000006,924.7067102600695,823.2940296691601,2.5479118906589093,418643.4666666666,1408226.262377852,5500355.0,11.0,6279641.0,897091.5714285715,2032030.947489962,5500374.0,493.0,6117344.0,873906.2857142857,2061207.9390062124,5542825.0,30.0,0,0,0,0,264,260,1.2739559453294547,1.2739559453294547,0.0,2654.0,304.11764705882354,654.9358634966616,428940.9852941177,1,2,0,7,15,0,0,0,1.0,323.125,170.0,476.25,0,0,0,0,6,8916,0,85,0,238,64240,32160,3,32,0,0,0,0,1.5993796819300712E15,1638118.5586149287,1.599379687328601E15,1.599379681091537E15,No Label
192.168.0.104-139.45.196.72-53052-443-6,192.168.0.104,53052,139.45.196.72,443,6,06/09/2020 01:53:01 PM,5822390,8,7,1696.0,3531.0,837.0,0.0,212.00000000000003,321.8850726579287,2647.0,0.0,504.42857142857144,966.885525306703,897.7413055463477,2.5762616382619505,415884.99999999994,1302083.3864395346,4927385.0,45.0,5822345.0,831763.5714285715,1809110.530760062,4927463.0,710.0,5582429.0,930404.8333333333,1981029.8995267504,4969000.0,70.0,0,0,0,0,264,228,1.3740062070730403,1.2022554311889102,0.0,2647.0,326.6875,671.6928582569069,451171.2958333333,1,2,0,7,14,0,0,0,0.0,348.46666666666664,212.0,504.42857142857144,0,0,0,0,6,8447,0,113,0,235,64240,32643,3,32,0,0,0,0,1.5993796827636442E15,1549872.8973733536,1.599379687616551E15,1.599379681835989E15,No Label
192.168.0.104-139.45.196.72-53044-443-6,192.168.0.104,53044,139.45.196.72,443,6,06/09/2020 01:52:59 PM,8890195,13,15,2181.0,29157.0,837.0,0.0,167.76923076923077,281.9784725371052,7000.0,0.0,1943.8000000000002,2349.8524330567775,3525.0070442774313,3.149537214875489,329266.4814814815,1142180.613878436,5728924.0,12.0,3151193.0,262599.4166666667,539558.3776898993,1944161.0,1016.0,8710116.0,622151.1428571428,1583108.3102170506,5729082.0,12.0,0,0,0,0,424,484,1.4622851354779056,1.6872520793975834,0.0,7000.0,1080.6206896551726,1903.34501440027,3622722.2438423643,1,2,0,9,27,0,0,0,1.0,1119.2142857142858,167.76923076923077,1943.8,0,0,0,0,12,39746,0,77,0,1041,64240,33480,4,32,0,0,0,0,1.5993796810363738E15,1806268.2793404614,1.599379688725862E15,1.59937967984593E15,No Label
192.168.0.104-139.45.196.72-53044-443-6,192.168.0.104,53044,139.45.196.72,443,6,06/09/2020 01:53:08 PM,341455,1,1,0.0,53.0,0.0,0.0,0.0,0.0,53.0,53.0,53.0,0.0,155.21811073201445,5.857287197434508,341455.0,0.0,341455.0,341455.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,2.928643598717254,2.928643598717254,0.0,53.0,17.666666666666668,30.599564267050166,936.3333333333334,1,0,0,1,2,0,0,0,1.0,26.5,0.0,53.0,0,0,0,0,0,0,0,0,0,26,63000,33480,0,32,0,0,0,0,0,0,0,0,No Label
192.168.0.104-139.45.196.72-53044-443-6,192.168.0.104,53044,139.45.196.72,443,6,06/09/2020 01:53:09 PM,217145,1,1,0.0,53.0,0.0,0.0,0.0,0.0,53.0,53.0,53.0,0.0,244.0765387183679,9.210435423334639,217145.0,0.0,217145.0,217145.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,4.605217711667319,4.605217711667319,0.0,53.0,17.666666666666668,30.599564267050166,936.3333333333334,1,0,0,1,2,0,0,0,1.0,26.5,0.0,53.0,0,0,0,0,0,0,0,0,0,26,63000,33480,0,32,0,0,0,0,0,0,0,0,No Label
202.94.66.146-192.168.0.104-443-49286-6,202.94.66.146,443,192.168.0.104,49286,6,06/09/2020 01:53:14 PM,878,2,0,39.0,0.0,39.0,0.0,19.5,27.577164466275352,0,0,0,0,44419.13439635535,2277.904328018223,878.0,0.0,878.0,878.0,878.0,878.0,0.0,878.0,878.0,0,0,0,0,0,1,0,0,0,64,0,2277.904328018223,0.0,0.0,39.0,26.0,22.516660498395403,507.0,1,0,0,1,2,0,0,0,0.0,39.0,19.5,0.0,0,0,0,0,0,0,1,19,0,0,676,0,0,32,0,0,0,0,0,0,0,0,No Label
192.168.0.104-202.94.66.146-49286-443-6,192.168.0.104,49286,202.94.66.146,443,6,06/09/2020 01:53:14 PM,32361,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.80278730570748,32361.0,0.0,32361.0,32361.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,30.90139365285374,30.90139365285374,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,3323,676,0,32,0,0,0,0,0,0,0,0,No Label
